cd_name,cd_number,borough,fp_100_area,fp_500_area,fp_100_bldg,fp_500_bldg,fp_100_cost_burden,fp_500_cost_burden,fp_100_cost_burden_value,fp_500_cost_burden_value,fp_100_mhhi,fp_500_mhhi,fp_100_mortg_value,fp_500_mortg_value,fp_100_openspace,fp_500_openspace,fp_100_ownerocc,fp_500_ownerocc,fp_100_ownerocc_value,fp_500_ownerocc_value,fp_100_permortg,fp_500_permortg,fp_100_pop_2010,fp_500_pop_2010,fp_100_rent_burden,fp_500_rent_burden,fp_100_rent_burden_value,fp_500_rent_burden_value,fp_100_resunits,fp_500_resunits
Manhattan Community District 9,109,Manhattan,0.11,0.09,32,48,13.4,13.4,122.0,122.0,48976.0,48976.0,501.0,501.0,0.030,0.038,11.4,11.4,910.0,910.0,55.1,55.1,0.0,0.0,53.2,53.2,3528.0,3528.0,0,42
Manhattan Community District 10,110,Manhattan,0.12,0.12,53,119,19.9,18.8,110.0,130.0,41128.0,38027.0,91.0,196.0,0.016,0.016,12.1,10.1,554.0,693.0,16.4,28.3,2372.0,7880.0,42.5,47.3,1628.0,2766.0,5576,7668
Manhattan Community District 11,111,Manhattan,1.19,1.16,1163,1428,12.2,13.7,149.0,241.0,36712.0,33720.0,368.0,660.0,0.819,0.821,5.5,5.7,1223.0,1759.0,30.1,37.5,32448.0,56674.0,45.8,46.2,8842.0,12541.0,23168,29958
Manhattan Community District 12,112,Manhattan,1.12,1.09,99,261,18.7,16.8,165.0,176.0,51113.0,49496.0,445.0,445.0,0.832,0.834,20.4,12.9,882.0,1045.0,50.5,42.6,397.0,11674.0,49.6,48.5,1561.0,3241.0,1167,4963
Queens Community District 1,401,Queens,1.52,1.70,1253,2000,42.0,39.6,442.0,810.0,55135.0,52776.0,569.0,942.0,0.146,0.147,17.8,18.1,1053.0,2048.0,54.0,46.0,3806.0,10550.0,51.6,51.2,1999.0,3723.0,5632,11920
Queens Community District 2,402,Queens,0.35,0.30,501,911,33.0,30.7,611.0,637.0,139342.0,133396.0,1329.0,1446.0,0.086,0.082,16.6,16.8,1853.0,2076.0,71.7,69.7,5875.0,9466.0,35.2,34.6,2152.0,2400.0,10515,14347
Queens Community District 3,403,Queens,0.01,0.06,7,7,,47.3,0.0,292.0,0.0,60093.0,0.0,377.0,0,0.047,,30.9,0.0,617.0,,61.1,0.0,0.0,,59.6,0.0,626.0,5,6
Queens Community District 4,404,Queens,0,0.00,0,4,,,,0.0,,0.0,,0.0,0,0.001,,,,0.0,,,,0.0,,,,0.0,0,9
Queens Community District 5,405,Queens,0.09,0.14,46,84,54.0,32.9,75.0,83.0,55769.0,59666.0,105.0,157.0,0,0,30.0,32.3,139.0,252.0,75.5,62.3,0.0,3.0,56.7,58.9,157.0,282.0,0,0
Queens Community District 6,406,Queens,0.01,0.03,19,87,,25.0,0.0,161.0,0.0,53355.0,0.0,351.0,0,0,,31.2,0.0,643.0,,54.6,0.0,1132.0,,51.0,0.0,667.0,448,1082
Queens Community District 7,407,Queens,3.89,1.95,1701,2489,33.5,35.8,3227.0,3768.0,71666.0,66914.0,4870.0,5220.0,0.384,0.365,56.0,49.9,9623.0,10532.0,50.6,49.6,5868.0,11387.0,49.1,52.5,2655.0,4113.0,5955,9169
Queens Community District 8,408,Queens,0.34,0.35,12,119,,,0.0,0.0,0.0,0.0,0.0,0.0,0.347,0.353,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0,210
Queens Community District 9,409,Queens,0.00,0,1,0,,,,,,,,,0,0,,,,,,,,,,,,,2,0
Queens Community District 10,410,Queens,0.73,0.82,5802,5722,37.6,37.8,2047.0,2202.0,79141.0,75840.0,2870.0,3140.0,0.655,0.655,63.4,60.4,5442.0,5823.0,52.7,53.9,11919.0,20737.0,45.9,50.1,1157.0,1569.0,6832,9102
Queens Community District 11,411,Queens,0.50,0.37,382,383,38.1,40.8,700.0,861.0,85714.0,89056.0,817.0,995.0,0.451,0.358,64.1,67.2,1837.0,2109.0,44.5,47.2,1285.0,1477.0,51.0,51.0,426.0,426.0,386,344
Queens Community District 12,412,Queens,0.15,0.00,5,0,42.1,42.1,165.0,165.0,72580.0,72580.0,274.0,274.0,0.151,0,63.1,63.1,392.0,392.0,69.9,69.9,0.0,0.0,52.2,52.2,96.0,96.0,0,0
Queens Community District 13,413,Queens,0.76,0.86,1847,3620,46.9,48.9,1265.0,2028.0,88246.0,86007.0,2079.0,3173.0,0.655,0.736,51.5,52.1,2699.0,4148.0,77.0,76.5,2686.0,12284.0,42.1,44.8,888.0,1455.0,2589,4789
Queens Community District 14,414,Queens,4.55,3.05,16573,7947,36.1,36.1,5252.0,5346.0,54781.0,53822.0,9249.0,9423.0,2.014,1.269,35.8,34.0,14561.0,14821.0,63.5,63.6,75307.0,89752.0,50.9,49.4,10878.0,11817.0,38284,22343
Staten Island Community District 1,501,Staten Island,2.95,2.41,1625,2191,33.3,34.4,1704.0,2798.0,49106.0,54606.0,3896.0,6399.0,1.096,0.792,41.0,44.2,5118.0,8130.0,76.1,78.7,2280.0,4856.0,53.4,54.9,3071.0,4460.0,3088,2924
Staten Island Community District 2,502,Staten Island,8.10,7.45,8030,7049,38.8,40.8,4513.0,6159.0,75074.0,75263.0,7918.0,10334.0,2.867,2.528,63.6,63.4,11636.0,15091.0,68.0,68.5,20855.0,30173.0,49.4,49.6,2597.0,3459.0,8409,7852
Staten Island Community District 3,503,Staten Island,5.97,6.18,4204,5156,37.6,39.0,5644.0,7268.0,93279.0,91603.0,10554.0,13315.0,1.910,2.339,78.4,77.7,15003.0,18633.0,70.3,71.5,8473.0,14274.0,50.9,51.4,1582.0,2139.0,4758,6510
